"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 21:17:46 GMT 2023","Mon Jul 24 21:17:46 GMT 2023","1","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testSocialPanelIconsNavigateToCorrespondingWebSites","testSocialPanelIconsNavigateToCorrespondingWebSites",""
"passed","Mon Jul 24 21:09:03 GMT 2023","Mon Jul 24 21:09:12 GMT 2023","8976","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testExternalTopMenuNavigatesToCorrespondingPage","testExternalTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:20:49 GMT 2023","Mon Jul 24 21:20:58 GMT 2023","8789","Surefire suite","Surefire test","tests.PartnersTest","tests.PartnersTest","testLinksTextsAreAsExpected","testLinksTextsAreAsExpected",""
"passed","Mon Jul 24 21:22:44 GMT 2023","Mon Jul 24 21:22:53 GMT 2023","8522","Surefire suite","Surefire test","tests.AboutUsTest","tests.AboutUsTest","testHeadersAboutUsPage","testHeadersAboutUsPage",""
"passed","Mon Jul 24 21:26:00 GMT 2023","Mon Jul 24 21:26:08 GMT 2023","8214","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testDayListTempInF_WhenSwitchingToImperial","testDayListTempInF_WhenSwitchingToImperial",""
"passed","Mon Jul 24 21:17:38 GMT 2023","Mon Jul 24 21:17:46 GMT 2023","7389","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testSocialPanelExistsAndHasIcons","testSocialPanelExistsAndHasIcons",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.PriceTest","tests.PriceTest","testH4HeadersOnAlertsTable","testH4HeadersOnAlertsTable",""
"passed","Mon Jul 24 21:21:07 GMT 2023","Mon Jul 24 21:21:16 GMT 2023","8345","Surefire suite","Surefire test","tests.CurrentWeatherTest","tests.CurrentWeatherTest","testCurrentWeatherDataCallTemplate","testCurrentWeatherDataCallTemplate",""
"passed","Mon Jul 24 21:10:05 GMT 2023","Mon Jul 24 21:10:14 GMT 2023","8937","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testMapsMenuNavigatesToWeatherMapsPage","testMapsMenuNavigatesToWeatherMapsPage",""
"passed","Mon Jul 24 21:19:40 GMT 2023","Mon Jul 24 21:19:54 GMT 2023","14204","Surefire suite","Surefire test","tests.UserTopMenuTest","tests.UserTopMenuTest","testUserTopMenus","testUserTopMenus",""
